수질측정망 현황,,,,,,,,,,,,,,
측정소명,구분,조사년월,수온(℃),pH,DO(㎎/L),BOD(㎎/L),TOC(㎎/L),SS(㎎/L),총인(T-P)(㎎/L),총질소(T-N)(㎎/L),총대장균군수(총대장균군수),분원성대장균군(㎎/L),수질통합지수 등급,조사기관
우이천,지천,20220601,,,,,,,,,,,,서울시보건환경연구원
우이천a,지천,20220601,20.1,8.1,8,0.7,0.9,0.1,0.01,1.554,800,510,80(좋음),서울시보건환경연구원
우이천b,지천,20220601,21.3,8.4,10.8,1.2,2.6,1.5,0.012,7.016,3100,1600,70(좋음),서울시보건환경연구원
우이천c,지천,20220601,21.5,8.4,7.9,1.4,2.3,4.5,0.035,5.782,2500,2300,70(좋음),서울시보건환경연구원
원지천,소하천,20220601,22.5,7.8,8.1,3,3.73,71.6,0.175,3.412,740000,89000,70(좋음),서울시보건환경연구원
인수천,소하천,20220601,20.6,8.4,8.9,0.6,0.9,0.1,0.01,1.586,790,650,80(좋음),서울시보건환경연구원
잠실,한강본류,20220601,21.3,7.8,8.7,0.9,2,7.6,0.022,1.711,11000,540,,한강유역환경청
정릉천,지천,20220601,19.9,7.3,10.9,1.1,1.4,1.2,0.036,4.922,16000,9000,,서울시보건환경연구원
정릉천a,지천,20220601,20.5,7.5,9.29,0.7,1.3,0,0.177,9.136,8700,4400,68(보통),서울시보건환경연구원
중랑천5,지천,20220601,22.9,7.9,7.8,5.9,13.5,207.4,0.661,5.593,,,,한강물환경 연구소
중랑천6,지천,20220601,25.3,7.6,10.7,1.4,4.1,6.7,0.242,8.294,3200,800,,서울시보건환경연구원
중랑천5,지천,20220601,24.2,8,8.8,1,3.5,2.5,0.142,7.602,300,40,,서울시보건환경연구원
중랑천6,지천,20220601,25.3,7.1,8.8,2.5,4,3.8,0.134,12.586,8000,6000,,서울시보건환경연구원
중랑천a,지천,20220601,22,8,6.88,2.1,3.9,6,0.105,5.587,900,510,75(좋음),서울시보건환경연구원
진관실개천,소하천,20220601,18.4,7.21,8.47,1.2,1.2,0.2,0.009,0.832,2500,510,80(좋음),서울시보건환경연구원
진관천,소하천,20220601,,,,,,,,,,,,서울시보건환경연구원
청계천1,지천,20220601,20.9,6.9,9.4,0.2,1.3,0.7,0.008,1.79,40,3,,서울시보건환경연구원
가양,한강본류,20220601,23.2,7.7,8.7,1,3,14.6,0.07,3.073,80000,1683,,한강유역환경청
가오천,지천,20220601,15.1,7.5,7.8,0.8,0.6,0.3,0.064,2.982,10000,8100,73(좋음),서울시보건환경연구원
감이천,지천,20220601,23.9,7.3,4.1,0.8,2.1,3.8,0.072,1.794,7400,5300,73(좋음),서울시보건환경연구원
고덕천,지천,20220601,23.7,7.9,8.8,0.7,1.2,4.5,0.046,2.708,2200,1000,75(좋음),서울시보건환경연구원
고덕천b,지천,20220601,23.2,7.7,7,0.9,1.3,2.5,0.053,2.304,6000,4600,73(좋음),서울시보건환경연구원
구의,한강본류,20220601,22.4,8.2,8.9,1.3,4.3,28.6,0.075,1.87,400,90,,한강물환경 연구소
노량진,한강본류,20220601,22.9,8.1,8.4,2.1,4.9,22.1,0.107,2.927,9898,2683,,한강물환경 연구소
당현천,지천,20220601,25.6,7.17,8.5,0.7,2.3,0,0.014,9.688,330,260,83(좋음),서울시보건환경연구원
대동천,지천,20220601,15.6,8,8.6,0.6,0.6,0.1,0,1.468,280,140,90(매우 좋음),서울시보건환경연구원
도림천,지천,20220601,23.9,8.4,10,1.6,2.7,5.4,0.07,3.192,1500,670,,서울시보건환경연구원
도림천a,지천,20220601,,,,,,,,,,,,서울시보건환경연구원
도림천b,지천,20220601,,,,,,,,,,,,서울시보건환경연구원
도림천c,지천,20220601,22.5,9.57,5.52,3,3.7,13.8,0.083,1.496,3600,2200,70(좋음),서울시보건환경연구원
도봉천,지천,20220601,23.8,7.51,8.93,1.1,2.8,0.5,0.013,7.968,3000,2100,68(보통),서울시보건환경연구원
뚝도,한강본류,20220601,21.3,7.4,7.7,1.2,2.7,9.8,0.09,3.209,200000,2400,,한강유역환경청
청계천2,지천,20220601,21.8,7.2,9.7,0.4,1.4,2.2,0.032,1.774,860,610,,서울시보건환경연구원
청계천3,지천,20220601,25,8.5,10.7,0.7,1.7,7.5,0.048,1.691,230,120,,서울시보건환경연구원
탄천6,지천,20220601,23.1,7.3,5.7,3.3,4.6,3.3,0.155,9.629,29000,23000,,서울시보건환경연구원
평창1천,소하천,20220601,19.6,6.97,7.53,1.7,2.4,1.6,0.098,2.832,3000,1700,73(좋음),서울시보건환경연구원
홍제천,지천,20220601,25.7,8.3,15.4,1.3,1.9,3.8,0.035,4.68,600,350,,서울시보건환경연구원
홍제천a,지천,20220601,19.7,7.85,3.11,3.3,2.2,3.4,0.157,9.932,6000,2800,68(보통),서울시보건환경연구원
홍제천b,지천,20220601,19.2,8.21,6.32,15.5,2.3,1.8,0.095,9.083,19000,7600,68(보통),서울시보건환경연구원
양재천2,지천,20220501,20.7,7.4,6.6,5.5,3.8,18.9,0.998,13.482,8000,2500,,서울시보건환경연구원
양재천a,지천,20220501,18.9,7.3,6.9,6.5,3.8,10.4,0.324,10.853,23000,8800,63(보통),서울시보건환경연구원
여의천,지천,20220501,18.6,7.9,11.3,0.7,2,2.6,0.087,4.735,11000,1600,70(좋음),서울시보건환경연구원
영등포,한강본류,20220501,19.9,7.6,9,1.2,2.9,7,0.051,3.568,25000,78,,한강유역환경청
우이천,지천,20220501,25.7,8.4,12.9,5,2.5,13,0.048,3.247,60,40,,서울시보건환경연구원
우이천a,지천,20220501,14,8.5,10.8,0.6,1.052,0.4,0.012,1.895,13000,9000,73(좋음),서울시보건환경연구원
우이천b,지천,20220501,17.3,8.6,14.6,0.8,1.777,4.4,0.023,2.912,1500,610,80(좋음),서울시보건환경연구원
우이천c,지천,20220501,14.8,8,6,0.4,1.173,3.3,0.016,4.114,10000,7200,70(좋음),서울시보건환경연구원
원지천,소하천,20220501,20.8,7.9,9.4,6.9,4.1,10.2,0.277,10.932,12000,3100,63(보통),서울시보건환경연구원
인수천,소하천,20220501,13.2,8.6,10,0.6,1.071,0.3,0.021,2.295,800,560,80(좋음),서울시보건환경연구원
잠실,한강본류,20220501,18.3,7.8,9.8,0.9,2,2.8,0.014,1.972,7800,22,,한강유역환경청
정릉천,지천,20220501,17.9,7.4,8.8,1.6,1.4,2.7,0.028,4.773,36000,12000,,서울시보건환경연구원
정릉천a,지천,20220501,18.4,8,10.66,0.8,1.302,0.4,0.222,10.299,9000,6200,65(보통),서울시보건환경연구원
중랑천5,지천,20220501,24.3,8.1,10.9,4.3,5.9,10.8,0.242,8.497,,,,한강물환경 연구소
중랑천6,지천,20220501,23.8,7.3,8.1,1.3,2.6,1.3,0.008,8.757,2100,1000,,서울시보건환경연구원
중랑천5,지천,20220501,22.7,7.6,7.4,2.3,3.6,25.5,0.088,6.679,40,15,,서울시보건환경연구원
중랑천6,지천,20220501,24.1,7,8.8,6.7,4.4,9.6,0.061,13.821,16000,11000,,서울시보건환경연구원
중랑천a,지천,20220501,,,,,,,,,,,,서울시보건환경연구원
진관실개천,소하천,20220501,16.3,6.99,9,1.6,0.9,0.3,0.004,1.009,1100,40,95(매우 좋음),서울시보건환경연구원
