수질측정망 현황,,,,,,,,,,,,,,
측정소명,구분,조사년월,수온(℃),pH,DO(㎎/L),BOD(㎎/L),TOC(㎎/L),SS(㎎/L),총인(T-P)(㎎/L),총질소(T-N)(㎎/L),총대장균군수(총대장균군수),분원성대장균군(㎎/L),수질통합지수 등급,조사기관
안양천a,지천,20190401,,,,3.2,6.3,4.8,0.101,9.112,15000,1200,,서울시보건환경연구원
안양천b,지천,20190401,,,,3,6.5,4.6,0.112,9.315,20000,2000,,서울시보건환경연구원
화계천,지천,20190301,,,,1.7,0.8,0.6,0.005,2.195,30,0,,서울시보건환경연구원
우이천b,지천,20190301,,,,1.9,2.9,10,0.016,9.654,3000,300,,서울시보건환경연구원
우이천c,지천,20190301,,,,2.1,1.6,2.4,0.074,12.107,4000,800,,서울시보건환경연구원
도봉천,지천,20190301,,,,4.5,3.7,1.6,0.023,9.967,1600,400,,서울시보건환경연구원
방학천,지천,20190301,,,,3.5,3.2,2.4,0.025,9.782,2800,800,,서울시보건환경연구원
당현천,지천,20190301,,,,2.5,3.9,0.6,0.023,10.612,600,110,,서울시보건환경연구원
묵동천,지천,20190301,,,,4,3.7,1.6,0.023,9.885,330,60,,서울시보건환경연구원
정릉천a,지천,20190301,,,,1.7,2.3,2.6,0.431,9.311,38000,4400,,서울시보건환경연구원
중랑천a,지천,20190301,,,,2.5,3.7,2.8,0.074,7.533,470,52,,서울시보건환경연구원
진관천,소하천,20190301,,,,0.5,0.8,0.6,0.01,1.969,520,140,,서울시보건환경연구원
진관실개천,소하천,20190301,,,,3.4,3,15.6,0.055,1.902,400,100,,서울시보건환경연구원
불광천a,지천,20190301,,,,3,1.8,2.6,0.076,9.43,16000,2300,,서울시보건환경연구원
불광천b,지천,20190301,,,,6.5,2,4.8,0.08,10.549,5100,940,,서울시보건환경연구원
불광천c,지천,20190301,,,,13.7,2.4,5.4,0.123,9.778,1000,200,,서울시보건환경연구원
평창1천,소하천,20190301,,,,1,1.6,1,0.097,5.802,4100,910,,서울시보건환경연구원
홍제천d,지천,20190301,,,,1.7,1.7,0.8,0.015,8.208,8000,3000,,서울시보건환경연구원
도림천a,지천,20190301,,,,3.3,2.7,7.6,0.047,5.218,34,1,,서울시보건환경연구원
도림천b,지천,20190301,,,,2.2,2.4,3,0.025,4.528,20,10,,서울시보건환경연구원
도림천c,지천,20190301,,,,7.4,4.5,1.6,0.157,5.978,180000,3000,,서울시보건환경연구원
안양천a,지천,20190301,,,,4.8,6,3.8,0.108,11.678,11000,700,,서울시보건환경연구원
안양천b,지천,20190301,,,,4.8,6.3,3.4,0.153,10.861,9000,400,,서울시보건환경연구원
안양천c,지천,20190301,,,,3.5,4.9,5.6,0.06,9.356,2000,100,,서울시보건환경연구원
양재천a,지천,20190301,,,,2.4,2.4,4.6,0.089,7.267,16000,1400,,서울시보건환경연구원
여의천,지천,20190301,,,,2.5,1.5,3.6,0.05,4.653,1000,100,,서울시보건환경연구원
세곡천a,지천,20190301,,,,2.7,1.8,2.4,0.133,3.926,8000,440,,서울시보건환경연구원
원지천,소하천,20190301,,,,1.6,0.6,7,0.015,4.312,50,10,,서울시보건환경연구원
세곡천b,지천,20190301,,,,2.2,2.3,5.6,0.092,3.376,6500,870,,서울시보건환경연구원
반포천a,지천,20190301,,,,4,2.8,8.6,0.05,5.071,1000,200,,서울시보건환경연구원
반포천b,지천,20190301,,,,3.5,2.3,5.6,0.057,4.323,19000,1000,,서울시보건환경연구원
성내천a,지천,20190301,,,,3.1,2,19.2,0.032,3.23,800,310,,서울시보건환경연구원
고덕천a,지천,20190301,,,,6.2,3.4,5.4,0.348,5.406,110000,32000,,서울시보건환경연구원
가양,한강본류,20190301,9.4,8.1,12,2.6,3.1,49.3,0.062,5.891,2212,83,,한강유역환경청
보광,한강본류,20190301,8.1,7.7,11.6,1.7,2.8,7.5,0.044,5.621,6900,110,,한강유역환경청
감이천,지천,20190301,,,,4.1,2.7,5.4,0.056,2.74,4000,940,,서울시보건환경연구원
고덕천,지천,20190301,9.8,8,11.5,2.3,1.8,7.6,0.103,4.943,21000,2400,,서울시보건환경연구원
구의,한강본류,20190301,9,7.9,11.4,2.1,2.3,6.4,0.05,3.323,43,13,,한강물환경 연구소
노량진,한강본류,20190301,9.3,7.8,11.4,3.2,3.2,8.4,0.068,6.015,1063,300,,한강물환경 연구소
도림천,지천,20190301,7.9,8.1,13,6.6,3.2,5.8,0.145,5.574,140000,12000,,서울시보건환경연구원
뚝도,한강본류,20190301,7.8,8,11.7,3.1,2.6,7.1,0.034,4.408,6900,120,,한강유역환경청
망월천,지천,20190301,,,,2.4,2,21.6,0.085,5.07,1600,180,,한강유역환경청
목감천1,지천,20190301,10.5,7.5,8.4,5.9,4.9,9.2,0.194,7.379,63000,2400,,서울시보건환경연구원
목감천-1,지천,20190301,13.7,7.7,10.6,4.2,5.2,20,0.213,7.39,,,,한강유역환경청
성내천,지천,20190301,9.5,8,12.5,3.2,2.2,14,0.072,3.112,210,8,,서울시보건환경연구원
성북천,지천,20190301,12.3,7.9,13.3,1.4,1,2.6,0.016,4.601,14,6,,서울시보건환경연구원
안양천9,지천,20190301,12.4,7.4,7.8,12.7,6.8,17.1,0.325,14.243,2400,310,,한강물환경 연구소
안양천10,지천,20190301,10.8,7.6,9.2,10.1,5.3,16.4,0.136,10.722,9000,200,,서울시보건환경연구원
암사,한강본류,20190301,8.1,8,11.2,0.8,1.7,6,0.022,2.575,4,1,,한강유역환경청
양재천2,지천,20190301,12.9,8.5,14.7,2.5,3,7.4,0.118,6.716,230,40,,서울시보건환경연구원
영등포,한강본류,20190301,8.1,7.7,11.7,3.1,3.1,9.7,0.045,5.348,390,5,,한강유역환경청
우이천,지천,20190301,10.2,8.5,14.2,1.6,2.3,3,0.023,7.91,70,4,,서울시보건환경연구원
잠실,한강본류,20190301,7.3,8.2,12.7,1.4,2.3,7.7,0.022,2.688,110,4,,한강유역환경청
정릉천,지천,20190301,11.9,9.1,17.7,1.9,1.3,10.2,0.134,6.89,2800,280,,서울시보건환경연구원
중랑천3,지천,20190301,13.9,7.2,10.1,6.4,4.9,10.1,0.26,9.088,,,,한강물환경 연구소
중랑천4,지천,20190301,12.2,7.4,12.2,2.9,4.2,5.4,0.174,9.221,10000,300,,서울시보건환경연구원
중랑천5,지천,20190301,11.3,7.6,11.8,2.3,3.6,6,0.102,8.243,330,12,,서울시보건환경연구원
중랑천6,지천,20190301,14,6.8,9.3,3.2,5,5.6,0.111,15.359,17000,1000,,서울시보건환경연구원
청계천1,지천,20190301,6.3,8.2,13.4,1.6,1.4,0.8,0.011,2.831,10,0,,서울시보건환경연구원
청계천2,지천,20190301,8.3,8,13.6,1.2,1.4,0.4,0.008,2.964,30,4,,서울시보건환경연구원
청계천3,지천,20190301,7.9,8.3,13.9,1.3,1.4,1.8,0.018,3.139,90,3,,서울시보건환경연구원
초이천,지천,20190301,12.8,8.1,12.2,4.8,3.3,10.4,0.271,6,,,,한강유역환경청
탄천6,지천,20190301,15.4,7.2,10.4,8,5.4,8.8,0.138,12.694,22000,2500,,서울시보건환경연구원
홍제천,지천,20190301,10.1,8.1,13.3,4.9,1.7,3.8,0.033,8.555,800,40,,서울시보건환경연구원
인수천,소하천,20190301,,,,1.8,0.6,0.2,0.017,2.027,100,10,,서울시보건환경연구원
백운천,소하천,20190301,,,,1.8,0.7,0.2,0.018,2.565,40,5,,서울시보건환경연구원
우이천a,지천,20190301,,,,1.7,0.9,0.2,0.017,2.516,30,0,,서울시보건환경연구원
대동천,지천,20190301,,,,1.4,0.5,0.4,0.003,1.855,40,4,,서울시보건환경연구원
가오천,지천,20190301,,,,1.1,0.6,0.2,0.022,2.897,60,20,,서울시보건환경연구원
망월천,지천,20190201,,,,3.2,2,5,0.182,5.882,3000,370,,한강유역환경청
목감천1,지천,20190201,7.6,7.6,11.9,2.9,4.5,6.8,0.14,8.535,35000,4000,,서울시보건환경연구원
목감천-1,지천,20190201,9.6,7.4,11.1,3.2,4.4,16.5,0.164,8.667,,,,한강유역환경청
성내천,지천,20190201,2.3,8,13.7,0.6,2.2,4,0.025,3.225,900,40,,서울시보건환경연구원
성북천,지천,20190201,6.2,7.3,11.2,0.1,1,1.6,0.009,5.207,700,20,,서울시보건환경연구원
안양천9,지천,20190201,8.1,7.2,9.5,4.1,6.1,7,0.13,15.03,770,420,,한강물환경 연구소
안양천10,지천,20190201,6.5,7.5,11.2,6.2,5.6,12.6,0.116,13.495,26000,1400,,서울시보건환경연구원
암사,한강본류,20190201,9.7,7.8,14.1,0.7,1.7,4.4,0.025,2.845,99,1,,한강유역환경청
양재천2,지천,20190201,2.5,7.6,14.2,0.1,2.4,3,0.057,7.7,2800,150,,서울시보건환경연구원
영등포,한강본류,20190201,2.9,8.1,13.5,1.7,3,3.7,0.059,5.208,870,17,,한강유역환경청
우이천,지천,20190201,3.4,7.9,16.4,0.1,2.2,0.6,0.017,8.625,1200,650,,서울시보건환경연구원
잠실,한강본류,20190201,7.1,7.8,14.9,0.9,2.2,6.2,0.035,3.066,190,4,,한강유역환경청
정릉천,지천,20190201,6.1,7.7,12.4,0.1,1.3,2.2,0.086,7.663,10000,2000,,서울시보건환경연구원
중랑천3,지천,20190201,10.6,6.9,11.3,3,4.5,5.4,0.185,12.45,,,,한강물환경 연구소
중랑천4,지천,20190201,8.5,7.3,13.3,3.3,4.2,4.6,0.137,11.015,16000,900,,서울시보건환경연구원
중랑천5,지천,20190201,5.3,7.7,13.1,1.3,3.6,5,0.097,10.381,13000,400,,서울시보건환경연구원
중랑천6,지천,20190201,10.7,7.1,10.6,7.1,4.9,7.8,0.184,15.507,34000,2400,,서울시보건환경연구원
청계천1,지천,20190201,2.8,7.7,13.6,0.1,1.3,1.4,0.005,2.864,10,0,,서울시보건환경연구원
청계천2,지천,20190201,2.4,7.8,13.6,0.1,1.3,1.2,0.004,3.099,120,25,,서울시보건환경연구원
청계천3,지천,20190201,3.5,8.1,16.3,0.1,1.4,1.8,0.013,3.532,2100,140,,서울시보건환경연구원
초이천,지천,20190201,8.3,7.9,11.9,3.6,3.9,3.3,0.361,7.596,,,,한강유역환경청
탄천6,지천,20190201,8.7,7.3,9.6,6.5,5.5,5.2,0.164,14.714,110000,32000,,서울시보건환경연구원
홍제천,지천,20190201,5.2,8,13.6,0.5,1.6,1.4,0.022,9.382,600,80,,서울시보건환경연구원
인수천,소하천,20190201,,,,0.1,0.7,1.8,0.014,2.369,650,470,,서울시보건환경연구원
백운천,소하천,20190201,,,,0.2,0.5,0.2,0.009,1.791,770,65,,서울시보건환경연구원
우이천a,지천,20190201,,,,0.2,0.5,0.2,0.009,1.791,770,65,,서울시보건환경연구원
대동천,지천,20190201,,,,0.2,0.4,0.2,0,1.793,20,0,,서울시보건환경연구원
가오천,지천,20190201,,,,0.1,0.6,0.6,0.018,2.579,500,100,,서울시보건환경연구원
화계천,지천,20190201,,,,0.2,0.7,0.2,0.003,2.123,50,0,,서울시보건환경연구원
우이천b,지천,20190201,,,,0.4,3.8,0.6,0.025,10.86,1000,90,,서울시보건환경연구원
우이천c,지천,20190201,,,,0.8,1.6,1,0.178,12.635,17000,6500,,서울시보건환경연구원
도봉천,지천,20190201,,,,2.6,3.4,1,0.022,9.285,2300,950,,서울시보건환경연구원
방학천,지천,20190201,,,,1.5,2.9,0.6,0.016,9.227,3700,110,,서울시보건환경연구원
당현천,지천,20190201,,,,1.4,3.7,0.6,0.023,9.758,1500,200,,서울시보건환경연구원
묵동천,지천,20190201,,,,2.8,3.4,1,0.023,9.783,1000,110,,서울시보건환경연구원
정릉천a,지천,20190201,,,,1.4,2,1.2,0.276,9.642,17000,5600,,서울시보건환경연구원
중랑천a,지천,20190201,,,,2.2,3.7,5,0.081,9.337,4500,160,,서울시보건환경연구원
진관천,소하천,20190201,,,,0.6,0.9,0.4,0.015,2.433,200,71,,서울시보건환경연구원
진관실개천,소하천,20190201,,,,1.1,1.2,1.2,0.012,1.976,20,8,,서울시보건환경연구원
불광천a,지천,20190201,,,,5,1.9,5.8,0.137,12.161,6000,1300,,서울시보건환경연구원
불광천b,지천,20190201,,,,8.2,1.8,2.6,0.066,10.852,1500,450,,서울시보건환경연구원
불광천c,지천,20190201,,,,8.4,2,3.8,0.085,10.534,5000,980,,서울시보건환경연구원
평창1천,소하천,20190201,,,,0.9,1.6,2.8,0.048,4.578,100,0,,서울시보건환경연구원
홍제천d,지천,20190201,,,,2.2,1.4,1,0.016,8.703,6000,1600,,서울시보건환경연구원
도림천a,지천,20190201,,,,0.8,2.3,2.6,0.023,4.648,40,2,,서울시보건환경연구원
도림천b,지천,20190201,,,,0.1,2,1.6,0.014,4.378,50,3,,서울시보건환경연구원
도림천c,지천,20190201,,,,2.4,2.5,0.6,0.023,4.689,1900,160,,서울시보건환경연구원
안양천a,지천,20190201,,,,2.7,5.8,4.8,0.088,12.403,9500,540,,서울시보건환경연구원
안양천b,지천,20190201,,,,3.4,6,5.6,0.096,12.442,11000,1000,,서울시보건환경연구원
안양천c,지천,20190201,,,,3.8,4.9,4.8,0.085,11.066,20000,2500,,서울시보건환경연구원
양재천a,지천,20190201,,,,2.1,2.7,12,0.077,8.203,11000,3100,,서울시보건환경연구원
여의천,지천,20190201,,,,0.6,1.2,6.8,0.034,4.35,2000,150,,서울시보건환경연구원
세곡천a,지천,20190201,,,,0.1,1.5,2.6,0.134,4.588,12000,1600,,서울시보건환경연구원
원지천,소하천,20190201,,,,0.3,0.6,9.2,0.014,4.397,4000,1400,,서울시보건환경연구원
세곡천b,지천,20190201,,,,1.5,2,1.4,0.046,4.608,6200,320,,서울시보건환경연구원
반포천a,지천,20190201,,,,1.8,2.3,2.8,0.043,4.21,5000,400,,서울시보건환경연구원
반포천b,지천,20190201,,,,6.3,2.4,61.6,0.094,4.152,53000,5600,,서울시보건환경연구원
성내천a,지천,20190201,,,,2.4,1.8,6.6,0.027,3.424,1300,300,,서울시보건환경연구원
고덕천a,지천,20190201,,,,9.3,3.4,5,0.502,7.639,110000,15000,,서울시보건환경연구원
가양,한강본류,20190201,4.8,8.3,13,2.3,2.9,33.1,0.057,5.695,4060,203,,한강유역환경청
보광,한강본류,20190201,3.1,8.3,13.7,1.7,2.7,3.6,0.035,4.246,6100,520,,한강유역환경청
감이천,지천,20190201,,,,3.8,2.2,6,0.074,3.731,11000,920,,서울시보건환경연구원
고덕천,지천,20190201,3.5,7.9,12.9,1.6,2.2,4,0.118,5.432,4600,370,,서울시보건환경연구원
구의,한강본류,20190201,3.9,8.1,15.3,1.5,2.4,4,0.035,3.34,30,14,,한강물환경 연구소
노량진,한강본류,20190201,4.4,8,12.6,2.1,2.8,5.3,0.052,5.997,1293,258,,한강물환경 연구소
도림천,지천,20190201,1.6,8.5,15.1,2.3,2.7,2.2,0.063,5.08,64000,30000,,서울시보건환경연구원
뚝도,한강본류,20190201,3.9,8.5,13.7,1.2,2.5,1.2,0.025,3.393,1600,180,,한강유역환경청
화계천,지천,20190101,,,,0.3,0.7,0.2,0.005,2.105,200,0,,서울시보건환경연구원
우이천b,지천,20190101,,,,0.8,3.4,0.4,0.012,10.684,600,40,,서울시보건환경연구원
우이천c,지천,20190101,,,,0.6,1.7,0.4,0.023,9.829,6000,800,,서울시보건환경연구원
도봉천,지천,20190101,,,,1.5,2.9,0.4,0.01,8.89,600,94,,서울시보건환경연구원
방학천,지천,20190101,,,,1.3,2.4,0.2,0.009,8.739,1400,460,,서울시보건환경연구원
가양,한강본류,20190101,3.3,7.9,13,1,2.7,42.5,0.07,6.887,1836,198,,한강유역환경청
감이천,지천,20190101,,,,3.2,2.4,7.8,0.065,3.633,19000,2700,,서울시보건환경연구원
고덕천,지천,20190101,2.1,7.3,13,2.6,1.7,5.2,0.144,5.804,12000,1000,,서울시보건환경연구원
구의,한강본류,20190101,1.9,8,14.7,1.2,1.9,2.8,0.025,3.99,68,23,,한강물환경 연구소
노량진,한강본류,20190101,2.6,7.9,13.5,1.6,2.5,3.3,0.04,5.977,630,345,,한강물환경 연구소
도림천,지천,20190101,-0.3,7.3,15.9,1.6,2.1,0.6,0.017,5.126,1000,130,,서울시보건환경연구원
뚝도,한강본류,20190101,3,8.4,13.5,1.3,2.2,4.2,0.037,4.385,3100,210,,한강유역환경청
보광,한강본류,20190101,2.4,8.1,13.7,1.4,2.3,3.8,0.032,4.457,3500,580,,한강유역환경청
망월천,지천,20190101,,,,2.3,2.2,13,0.105,5.506,3500,700,,한강유역환경청
목감천1,지천,20190101,3.4,7.3,12.7,2.6,4,4,0.096,9.223,42000,5500,,서울시보건환경연구원
목감천-1,지천,20190101,6.7,7.5,12,2.9,4.5,8.6,0.15,9.191,,,,한강유역환경청
성내천,지천,20190101,1.6,7.3,13.6,1.8,1.8,1.6,0.036,3.457,160,18,,서울시보건환경연구원
성북천,지천,20190101,7.4,7.5,15.5,0.8,1,0.8,0.017,5.842,84,2,,서울시보건환경연구원
안양천9,지천,20190101,6.5,7.3,10.1,2.8,5.1,3.6,0.105,14.08,6800,3200,,한강물환경 연구소
안양천10,지천,20190101,3.2,7.4,12.3,2.1,4.7,2.6,0.073,11.185,7000,500,,서울시보건환경연구원
암사,한강본류,20190101,3.8,8.6,14,0.8,1.6,2.6,0.037,3.045,460,42,,한강유역환경청
양재천2,지천,20190101,0.3,7.4,13.9,1.4,2.2,8.6,0.092,6.24,2000,100,,서울시보건환경연구원
영등포,한강본류,20190101,2.3,7.9,13.8,1.1,2.4,4.4,0.029,5.136,210,25,,한강유역환경청
우이천,지천,20190101,0.8,7.4,15,1.1,1.6,0.2,0.016,8.436,630,20,,서울시보건환경연구원
잠실,한강본류,20190101,3.5,9,14,0.9,1.9,5,0.026,3.279,2100,290,,한강유역환경청
정릉천,지천,20190101,6.7,8.2,16.6,1.1,1,1.4,0.058,7.129,4000,750,,서울시보건환경연구원
중랑천3,지천,20190101,8.7,6.7,10.4,5.6,4.6,4.1,0.25,13.615,,,,한강물환경 연구소
중랑천4,지천,20190101,7.4,7.5,13.4,1.7,3.3,2.6,0.077,10.586,1700,63,,서울시보건환경연구원
중랑천5,지천,20190101,3.1,7.6,13.8,2.2,3.7,3.6,0.126,11.08,10000,600,,서울시보건환경연구원
중랑천6,지천,20190101,10.3,7,10.8,6.9,4.8,5,0.147,16.031,18000,4300,,서울시보건환경연구원
청계천1,지천,20190101,1.7,7.8,15.8,0.9,1.2,1.2,0.006,2.695,10,2,,서울시보건환경연구원
청계천2,지천,20190101,1.1,7.7,16.1,0.9,1.1,0.4,0.006,3.031,100,6,,서울시보건환경연구원
청계천3,지천,20190101,1.5,7.5,14.6,0.8,1.3,0.4,0.015,3.642,55,1,,서울시보건환경연구원
초이천,지천,20190101,6.1,7.9,11.9,3.8,4.4,6,0.385,7.047,,,,한강유역환경청
탄천6,지천,20190101,7.4,7.1,10.6,4.6,5.1,4.2,0.159,14.092,38000,2300,,서울시보건환경연구원
홍제천,지천,20190101,1.9,7.7,13.8,2.6,1.6,0.8,0.032,9.438,6800,2900,,서울시보건환경연구원
인수천,소하천,20190101,,,,0.3,0.7,0.2,0.017,2.52,1500,40,,서울시보건환경연구원
백운천,소하천,20190101,,,,0.3,0.5,0.2,0.009,1.902,200,28,,서울시보건환경연구원
우이천a,지천,20190101,,,,0.1,0.7,0.2,0.015,2.385,600,20,,서울시보건환경연구원
대동천,지천,20190101,,,,0.4,0.4,0.2,0,1.839,50,2,,서울시보건환경연구원
가오천,지천,20190101,,,,0.2,0.5,0.2,0.023,3.216,300,20,,서울시보건환경연구원
당현천,지천,20190101,,,,1.3,3.1,0.2,0.009,9.87,160,30,,서울시보건환경연구원
묵동천,지천,20190101,,,,3.3,3.8,1,0.018,11.495,3700,650,,서울시보건환경연구원
정릉천a,지천,20190101,,,,2.4,1.8,1.4,0.234,9.77,15000,2900,,서울시보건환경연구원
중랑천a,지천,20190101,,,,2.5,3.3,2,0.061,9.167,4100,200,,서울시보건환경연구원
진관천,소하천,20190101,,,,0.9,0.9,0.2,0.018,2.313,550,200,,서울시보건환경연구원
진관실개천,소하천,20190101,,,,1.2,0.9,0.2,0.009,2.276,110,0,,서울시보건환경연구원
불광천a,지천,20190101,,,,8.7,1.7,5.8,0.135,10.492,4100,900,,서울시보건환경연구원
불광천b,지천,20190101,,,,8,1.9,3.8,0.088,11.572,1300,260,,서울시보건환경연구원
불광천c,지천,20190101,,,,2.4,1.5,2,0.046,6.089,560,90,,서울시보건환경연구원
평창1천,소하천,20190101,,,,0.7,1.4,0.2,0.103,5.435,30,0,,서울시보건환경연구원
홍제천d,지천,20190101,,,,0.8,1.2,1.4,0.01,7.573,3400,1900,,서울시보건환경연구원
도림천a,지천,20190101,,,,1.7,2.4,2,0.021,5.173,100,4,,서울시보건환경연구원
도림천b,지천,20190101,,,,1.1,2.1,2.8,0.018,4.906,300,20,,서울시보건환경연구원
안양천a,지천,20190101,,,,7.1,5.2,5.2,0.085,11.818,7000,700,,서울시보건환경연구원
안양천b,지천,20190101,,,,7.2,5.3,5.6,0.06,11.833,5000,100,,서울시보건환경연구원
안양천c,지천,20190101,,,,2.2,4.2,2.8,0.051,9.372,13000,3600,,서울시보건환경연구원
양재천a,지천,20190101,,,,2,1.9,1.8,0.044,6.382,21000,2400,,서울시보건환경연구원
여의천,지천,20190101,,,,1.3,1.1,1.2,0.03,4.622,2000,100,,서울시보건환경연구원
세곡천a,지천,20190101,,,,1.6,1.4,1.2,0.136,4.602,55000,4000,,서울시보건환경연구원
원지천,소하천,20190101,,,,0.4,0.6,2.4,0.015,4.547,7400,21,,서울시보건환경연구원
세곡천b,지천,20190101,,,,2.5,2.3,1.2,0.056,5.165,26000,730,,서울시보건환경연구원
반포천a,지천,20190101,,,,22.8,14.4,22.6,1.949,22.25,3400000,930000,,서울시보건환경연구원
반포천b,지천,20190101,,,,23,8,19.6,0.948,12.385,600000,110000,,서울시보건환경연구원
성내천a,지천,20190101,,,,2.2,1.7,3,0.031,3.457,800,300,,서울시보건환경연구원
고덕천a,지천,20190101,,,,5.4,3.1,5,0.329,6.738,62000,11000,,서울시보건환경연구원
양재천a,지천,20181201,,,,0.1,2,3,0.067,5.61,18000,1700,,서울시보건환경연구원
여의천,지천,20181201,,,,0.1,1.1,2.2,0.068,4.17,7000,700,,서울시보건환경연구원
우이천c,지천,20181201,,,,0.1,1.1,0.4,0.057,10.879,16000,4500,,서울시보건환경연구원
도봉천,지천,20181201,,,,0.2,2.4,1.8,0.01,9.675,2500,300,,서울시보건환경연구원
방학천,지천,20181201,,,,0.3,2.3,0.8,0.011,9.909,3000,130,,서울시보건환경연구원
당현천,지천,20181201,,,,0.6,2.2,3.2,0.03,8.075,1900,330,,서울시보건환경연구원
묵동천,지천,20181201,,,,0.5,2.4,0.4,0.023,8.653,3700,220,,서울시보건환경연구원
세곡천a,지천,20181201,,,,0.2,1.3,1.2,0.108,4.174,15000,1000,,서울시보건환경연구원
원지천,소하천,20181201,,,,0.2,0.6,3.4,0.023,4.446,1000,140,,서울시보건환경연구원
세곡천b,지천,20181201,,,,0.3,1.9,0.8,0.049,4.148,23000,1900,,서울시보건환경연구원
반포천a,지천,20181201,,,,6.5,2.8,55.6,0.261,5.339,380000,60000,,서울시보건환경연구원
반포천b,지천,20181201,,,,2.1,2,11.2,0.105,3.358,30000,9000,,서울시보건환경연구원
성내천a,지천,20181201,,,,1.2,1.8,2,0.023,3.289,1500,180,,서울시보건환경연구원
고덕천a,지천,20181201,,,,9.4,2.4,6.6,0.241,6.025,90000,28000,,서울시보건환경연구원
가양,한강본류,20181201,5.7,7.6,12.3,0.6,2,16.5,0.032,4.291,24725,737,,한강유역환경청
보광,한강본류,20181201,4.7,7.8,12.5,0.9,1.8,3.2,0.028,3.769,12000,720,,한강유역환경청
감이천,지천,20181201,,,,3.3,2.7,2.4,0.042,3.614,22000,1400,,서울시보건환경연구원
고덕천,지천,20181201,7.2,7.5,12,2.3,1.9,10,0.14,4.958,5300,29000,,서울시보건환경연구원
구의,한강본류,20181201,8.1,8.1,12.2,0.7,1.6,3.2,0.03,2.73,500,340,,한강물환경 연구소
노량진,한강본류,20181201,5.5,7.9,13,1.4,2.2,3.9,0.043,4.65,16713,9023,,한강물환경 연구소
도림천,지천,20181201,5.6,6.5,12.4,1,1.6,2,0.019,2.986,520,2700,,서울시보건환경연구원
뚝도,한강본류,20181201,5.5,8,12.8,0.5,1.4,2.6,0.015,2.403,2700,65,,한강유역환경청
망월천,지천,20181201,,,,8.7,1.8,22.8,0.15,5.786,12000,4800,,한강유역환경청
목감천1,지천,20181201,8.7,7.4,10.7,1.8,3.5,2.8,0.092,7.347,9000,50000,,서울시보건환경연구원
목감천-1,지천,20181201,6.9,7.4,13.2,3,5,9.3,0.124,6.896,,,,한강유역환경청
성내천,지천,20181201,7.2,7.4,11.2,1.4,1.9,9.8,0.073,3.164,15000,160000,,서울시보건환경연구원
성북천,지천,20181201,11.5,7.4,11.9,1.3,1.1,2,0.022,5.606,3700,28000,,서울시보건환경연구원
안양천9,지천,20181201,13.5,7.8,8.2,7.1,4.9,12.2,0.16,9.315,79000,42000,,한강물환경 연구소
안양천10,지천,20181201,8,7.4,10.1,1.9,3.8,2.2,0.063,6.215,7000,55000,,서울시보건환경연구원
암사,한강본류,20181201,4.6,7.8,12.7,0.6,1.5,3,0.016,2.234,3700,55,,한강유역환경청
양재천2,지천,20181201,9.2,7.8,14.6,1.6,2.2,2.8,0.067,4.811,1600,17000,,서울시보건환경연구원
영등포,한강본류,20181201,4.2,7.7,12.8,0.7,1.6,4,0.027,3.479,10000,120,,한강유역환경청
우이천,지천,20181201,7.8,7.7,14.2,1,1.5,1.8,0.029,6.047,1600,24000,,서울시보건환경연구원
잠실,한강본류,20181201,4.3,7.7,12.6,1.4,1.8,3.2,0.017,2.327,2100,25,,한강유역환경청
정릉천,지천,20181201,10.6,7.6,12.7,1,1.2,2.2,0.091,6.879,2800,14000,,서울시보건환경연구원
중랑천3,지천,20181201,13.2,6.9,9.7,7.1,4.2,9.8,0.315,10.26,,,,한강물환경 연구소
중랑천4,지천,20181201,11.2,7.3,12.2,1.3,2.6,4.8,0.112,8.764,3100,20000,,서울시보건환경연구원
중랑천5,지천,20181201,7.9,7.6,12.4,1,2.4,2.2,0.066,7.213,1600,13000,,서울시보건환경연구원
중랑천6,지천,20181201,14,7.3,9.8,4.8,3.7,4.6,0.099,12.457,10000,43000,,서울시보건환경연구원
청계천1,지천,20181201,8.3,7.6,11.9,0.4,1.1,2,0.004,2.484,19,80,,서울시보건환경연구원
청계천2,지천,20181201,8,7.8,12,0.5,1.2,0.8,0.005,2.906,240,2400,,서울시보건환경연구원
청계천3,지천,20181201,7.4,7.5,13.1,0.9,1.2,0.8,0.021,3.473,2000,14000,,서울시보건환경연구원
초이천,지천,20181201,6.3,7.7,10.2,2.6,2.8,3.9,0.236,5.287,,,,한강유역환경청
탄천6,지천,20181201,11.8,7.1,9.1,3.3,4,3.4,0.082,9.026,7000,90000,,서울시보건환경연구원
홍제천,지천,20181201,7.2,7.3,11.4,2.4,1.6,0.6,0.023,8.209,1000,3200,,서울시보건환경연구원
인수천,소하천,20181201,,,,0.1,0.8,0.2,0.018,1.954,1100,50,,서울시보건환경연구원
백운천,소하천,20181201,,,,0.1,0.5,0.2,0.005,1.298,200,10,,서울시보건환경연구원
우이천a,지천,20181201,,,,0.1,0.7,0.4,0.017,1.967,100,10,,서울시보건환경연구원
대동천,지천,20181201,,,,0.2,0.6,0.2,0.009,1.487,20,0,,서울시보건환경연구원
가오천,지천,20181201,,,,0.2,0.6,0.2,0.015,2.062,1000,500,,서울시보건환경연구원
화계천,지천,20181201,,,,0.1,0.7,0.4,0.006,1.897,64,0,,서울시보건환경연구원
